AcresBurned,Active,AdminUnit,AirTankers,ArchiveYear,CalFireIncident,CanonicalUrl,ConditionStatement,ControlStatement,Counties,CountyIds,CrewsInvolved,Dozers,Engines,Extinguished,Fatalities,Featured,Final,FuelType,Helicopters,Injuries,Latitude,Location,Longitude,MajorIncident,Name,PercentContained,PersonnelInvolved,Public,SearchDescription,SearchKeywords,Started,Status,StructuresDamaged,StructuresDestroyed,StructuresEvacuated,StructuresThreatened,UniqueId,Updated,WaterTenders
543,FALSE,CAL FIRE/Riverside County Fire,,2015,TRUE,/incidents/2015/8/10/anza/fire/,,,Riverside,33,,,,15/08/2015,,FALSE,TRUE,,,,33.5736,Highway 74 east of Highway 371,/116.5387,FALSE,Anza Fire,100,,TRUE,"The Anza Fire started on August 10, 2015 off Highway 74 east of Highway 371 near Anza, in Riverside County.","Anza Fire, Riverside County, Hwy 74, Hwy 371,",10/08/2015,Finalized,,,,,592f14da/405c/4e6d/a83b/8937322524ad,2015/08/15T17:30:00Z,
509,FALSE,USFS / Inyo National Forest,,2015,FALSE,/incidents/2015/2/6/van/dyke/fire/,,,Mono,26,,,,20/02/2015,,FALSE,TRUE,,,,0,"Point Ranch, South of Bridgeport",0,FALSE,Van Dyke Fire,100,,TRUE,"The Van Dyke Fire started on February 6, 2015 in the Inyo National Forest in Mono County.","Van Dyke Fire, Mono County, February 6, 2015, Inyo National Forest.",06/02/2015,Finalized,,,,,f1b8fec0/ff6c/413d/bedb/d2e9c9ffb764,2015/02/20T19:00:00Z,
500,FALSE,Sierra National Forest,,2015,FALSE,/incidents/2015/6/18/sky/fire/,,,Madera,20,,,,19/06/2015,,FALSE,TRUE,,,,0,"Rd 632, 2 miles from Hwy 41, Community of Calvin Crest",0,FALSE,Sky Fire,100,,TRUE,"The Sky Fire started on June 18, 2015 near Rd 632, e miles from Hwy 41, near the community of Calvin Crest in Madera County and burned 500 acres.","Sky Fire, Madera County, Sierra National Forest, June 18, 2015, Calvin Crest

",18/06/2015,Finalized,,,,,3a9bd55c/a384/402b/b673/2563200ce59e,2015/06/19T08:15:00Z,
430,FALSE,CAL FIRE Tulare Unit,,2015,TRUE,/incidents/2015/7/21/triple/fire/,"On July 21st 2015, at 12:22pm the CAL FIRE Tulare Unit received 911 calls of a possible vegetation fire in the Springville area of Tulare County. 
<br>
CAL FIRE would like to remind all residents and visitors to the area that we remain in a drought situation and remember ONE LESS SPARK ONE LESS WILDFIRE.
",,Tulare,54,,,,26/07/2015,,FALSE,TRUE,,,,36.085212,"Globe Dr and Mountain Rd, Springville",/118.824235,TRUE,Triple Fire,100,,TRUE,"Triple Fire started on July 21, 2015 off of Globe Dr and Mountain Rd in the town of Springville in Tulare County. and burned 430 acres.",Triple Fire off of Globe Dr and Mountain Rd in the town of Springville [Tulare County] July 2015,21/07/2015,Finalized,,,,,9e2f6af4/ea45/4163/b6a1/e1fe9571fda3,2015/07/26T10:30:00Z,
415,FALSE,USFS / Yosemite National Park,,2015,FALSE,/incidents/2015/9/7/tenaya/fire/,,,Mariposa,22,,,,11/09/2015,,FALSE,TRUE,,,,0,"north rim of Yosemite Valley, east of Yosemite Falls",0,FALSE,Tenaya Fire,100,,TRUE,"The Yenaya Fire started on September 7, 2015, near the north rim of Yosemite Valley, east of Yosemite Falls in Yosemite National Park (Mariposa County).","Tenaya Fire, Yousemite National Park, Mariposa County, September 7, 2015, ",07/09/2015,Finalized,,,,,d01b8e54/43e5/4643/8742/a14e1c2980f8,2015/09/11T11:00:00Z,
415,FALSE,Los Angeles County Fire ,,2015,FALSE,/incidents/2015/6/24/calgrove/fire/,,,Los Angeles,19,,,,26/06/2015,,FALSE,TRUE,,,,34.361007,"Southbound Interstate 5, North of Calgrove, Santa Clarita ",/118.535793,FALSE,Calgrove Fire ,100,,TRUE,"The Calgrove Fire started on June 24 and burned 415 acres off Southbound Interstate 5, North of Calgrove in Santa Clarita (Los Angeles County.","Los Angeles County, Calgrove, Santa Clarita, JUne 24, 2015",24/06/2015,Finalized,,,,,e61d1b0b/4f19/460a/a6ac/e83a6e0a05a9,2015/06/26T17:00:00Z,
400,FALSE,CAL FIRE Butte Unit,,2015,TRUE,/incidents/2015/7/29/swedes/fire/,"Fire crews will remain the area for several days.

<p>Updated acreage due to better mapping.",,Butte,4,,,,03/08/2015,,FALSE,TRUE,,,,39.43963,"Swedes Flat Road, 3 miles north of Bangor",/121.38794,TRUE,Swedes Fire,100,8,TRUE,"The Swedes fire started on July 29, 2015 and burned 400 acres off Swedes Flat Road, 3 miles north of Bangor in Butte County.","Swedes Fire, Swedes Flat Road, July 29, 2015, Butte County, ",29/07/2015,Finalized,,16,,,7428460d/f47d/45c0/8a86/3fb653829860,2015/08/03T17:00:00Z,
374,FALSE,Los Angeles County Fire Department /  Montebello Fire Department,,2015,FALSE,/incidents/2015/8/16/lincoln/fire/,,,Los Angeles,19,,,,20/08/2015,,FALSE,TRUE,,,,0,"off Lincoln Ave, in the Whittier Narrows Park, City of Montebello",0,FALSE,Lincoln Fire,100,,TRUE,"The Lincoln Fire started on August 16, 2015 off Lincoln Ave, in the Whittier Narrows Park in the City of Montebello in Los Angeles County.","Lincoln Ave, Whittier Narrows Park, City of Montebello, Los Angeles County Fire Department",16/08/2015,Finalized,,,,,0011ce0f/5493/4bef/b6e1/4674a0393b0c,2015/08/20T08:10:00Z,
355,FALSE,CAL FIRE Amador El Dorado Unit,,2015,TRUE,/incidents/2015/7/2/ione/fire/,,,Amador,3,1,2,13,02/07/2015,,FALSE,TRUE,,,,0,"off Ione Rd & Hwy 16, east of Rancho Murietta",0,TRUE,Ione Fire,100,,TRUE,"The Ione Fire off Ione Rd & Hwy 16, east of Rancho Murietta (Amador County) burned 355 acres in July 2015 and burned 355 acres.","Ione Fire, Amador County, July 2015, 2015",02/07/2015,Finalized,,,,,c3f64286/b2a0/4ab1/9f6b/d934d5b82228,2015/07/02T06:36:00Z,5
300,FALSE,Angeles National Forest,,2015,FALSE,/incidents/2015/8/16/warm/fire/,,,Los Angeles,19,,,,16/08/2015,,FALSE,TRUE,,,,0,Lake Hughes Rd at Warm Springs Rehab Center,0,FALSE,Warm Fire,100,,TRUE,The Warm Fire burned 300 acres in the Angeles National Forest near Lake Hughes Road at Warm Springs Rehab Center in August 2015,"Warm Fire, Los Angeles County, Lake Hughes Road, Warm Springs Rehab Center, Angeles National Forest",16/08/2015,Finalized,,,,,15b01fbd/1962/4092/bcc4/d95ab7fafea2,2015/08/16T20:00:00Z,
300,FALSE,CAL FIRE Santa Clara Unit,,2015,TRUE,/incidents/2015/6/5/site/fire/,,,Alameda,1,,,,06/06/2015,,FALSE,TRUE,,,,0,near Corral Hollow Road and the Alameda/San Joaquin county line.,0,FALSE,Site Fire,100,,TRUE,The Site Fire burned 300 acres in Alameda Co. near Corral Hollow Rd close to the Alameda/San Joaquin Co. line in June 2015.,"Site Fire, Corral Hollow Rd, Alameda Co., San Joaquin Co., June 2015",05/06/2015,Finalized,,,,,186f5cdd/aa7d/4f9e/84ae/83112801c790,2015/06/06T07:15:00Z,
282,FALSE,USFS / Los Padres National Forest,,2015,FALSE,/incidents/2015/8/2/chorro/fire/,,,Ventura,56,,,,12/08/2015,,FALSE,TRUE,,,,0,"Maricopa Highway 33 & Chorro Grande Canyon, north of Ojai ",0,FALSE,Chorro Fire,100,,TRUE,"The Chorro Fire started on August 2, 2015 and burned 282 acres off Maricopa Highway 33 and Chorro Grande Canyon, North of Ojai in Ventura County.","Chorro Fire off Maricopa Highway 33 and Chorro Grande Canyon, North of Ojai, Ventura County, August, 2015 

293",02/08/2015,Finalized,,,,,7e1e0693/4690/4d11/afe6/74652d68c3ef,2015/08/12T08:00:00Z,
275,FALSE,CAL FIRE Madera/Mariposa/Merced Unit,,2015,TRUE,/incidents/2015/5/11/forebay/fire/,,,Merced,24,,,,11/05/2015,,FALSE,TRUE,,,,37.08312,off Hwy 152 near the O’Neill Forebay ,/121.06963,FALSE,Forebay Fire,100,,TRUE,"The Forebay Fire burned 275 acres off Hwy 152 near the O’Neill Forebay in Merced County in May, 2015.","Forebay, Forebay Fire, May 11, 2015, Merced County, Hwy 152, O’Neill Forebay, San Luis Reservoir",11/05/2015,Finalized,,,,,316804d6/471a/4c73/8b05/89b8abc8eeac,2015/05/11T12:15:00Z,
242,FALSE,CAL FIRE Santa Clara Unit,,2015,TRUE,/incidents/2015/5/28/christensen/fire/,,,Alameda,1,,,,28/05/2015,,FALSE,TRUE,,,,0,Christensen Rd and Burns Rd in the Altamont Pass area,0,FALSE,Christensen Fire,100,,TRUE,The Christensen Fire burned 242 acres in May 2015 off Christensen Rd and Burns Rd in the Altamont Pass area in Alameda County. ,"Christensen Fire, Christiensen Rd., Burns Rd, Altamont Pass, Santa Clara Unit, Alameda County",28/05/2015,Finalized,,,,,7c162fbf/922c/4128/9e30/a1e8848e15ab,2015/05/28T10:30:00Z,
227,FALSE,USFS / Mendocino National Forest,,2015,FALSE,/incidents/2015/7/30/mendocino/national/forest/lightning/complex/,,,Mendocino,23,,,,07/08/2015,,FALSE,TRUE,,,,0,throughout Mendocino National Forest,0,FALSE,Mendocino National Forest Lightning Complex,100,,TRUE,"The Mendocino National Forest Lightning Complex started on July 30, 2015 and was a total of 15 fire that burned 227 acres throughout Mendocino National Forest in Mendocino County.","Mendocino National Forest, Lightning,",30/07/2015,Finalized,,,,,8c030522/da26/492f/80e2/a249e741d9cb,2015/08/07T21:00:00Z,
215,FALSE,CAL FIRE Santa Clara Unit,,2015,TRUE,/incidents/2015/9/9/pacheco/fire/,,,Santa Clara,43,,,,10/09/2015,,FALSE,TRUE,,,,0,"off Hwy 152 at Dinosaur Point, 3 miles west of San Luis Reservoir",0,FALSE,Pacheco Fire,100,,TRUE,"Pacheco Fire started on September 9, 2015 off Hwy 152 at Dinosaur Point, 3 miles west of San Luis Reservoir (Santa Clara County) and burned 215 acres.","Pacheco Fire off Hwy 152 at Dinosaur Point, 3 miles west of San Luis Reservoir, (Santa Clara County), September 2015, 258",09/09/2015,Finalized,,,,,f58b224d/b7d2/4311/9d65/c7440a1ceb53,2015/09/10T18:50:00Z,
215,FALSE,CAL FIRE Sonoma/Lake/Napa Unit,,2015,TRUE,/incidents/2015/8/22/peterson/fire/,"Though the fire will be 100% contained at 6pm today, daily CALFIRE engine patrols will continue to check for any residual smokes.  Thank you to Lake County Sheriff’s office, North Shore, Lakeport, Kelseyville, South lake, and Lake County fire districts.  Also Lake County public works department, the Lakeport Rod and Gun Club and Lampson Field for their cooperation during this and all the recent fires in Lake County.

<p>CAL FIRE would also like to thank the citizens affected by the fires and their willingness to evacuate early for their safety and helping to allow our firefighters to focus on structure defense and fire perimeter control.</p>
",,Lake,17,,,4,27/08/2015,,FALSE,TRUE,,,,38.925764,"off Peterson Lane and Adobe Creek Road, near Kelseyville",/122.879272,TRUE,Peterson Fire,100,,TRUE,"The Peterson Fire burned 215 acres off Peterson Lane cross of Adobe Creek Road, near Kelseyville in Lake County in August 2015.","Peterson Fire, Lake County, Peterson Lane, Adobe Creek Road, Kelseyville, August 2015",22/08/2015,Finalized,,,,,02d470c1/bf41/4ff9/9424/f680cef5bbbc,2015/08/27T15:15:00Z,
214,FALSE,Orange County Fire Authority,,2015,TRUE,/incidents/2015/7/13/241/fire/,,,Orange,30,,,,15/07/2015,,FALSE,TRUE,,,,33.7626,"Hwy 241, south of Santiago Canyon Rd, near Irvine Lake (Orange County)",/117.7274,FALSE,241 Fire,100,,TRUE,"241 Fire started on July 13 off Hwy 241, south of Santiago Canyon Rd, near Irvine Lake (Orange County) and burned 214 acres.","241 Fire, Hwy 241, south of Santiago Canyon Rd, near Irvine Lake (Orange County).",13/07/2015,Finalized,,,,,ca7da36b/1951/4d52/92b2/1a0b04aab586,2015/07/15T18:45:00Z,
212,FALSE,CAL FIRE Shasta/Trinity Unit,,2015,TRUE,/incidents/2015/7/29/china/fire/,Firefighters continued overnight to aggressively fight the fire. Fire crews made great progress last night but are concerned about the weather forecasted for today. Weather continues to be hot and dry with very low moisture recovery at night. Firefighters will the day to gain containment and re/ evaluate road closures and evacuations. Damage assessment is ongoing. Please be cautious of fire equipment and personnel when driving in the area.,,Shasta,45,3,1,20,01/08/2015,,FALSE,TRUE,,2,2,40.415108,"China Gulch, Happy Valley, Southwest of Redding",/122.439939,TRUE,China Fire,100,120,TRUE,"The China Fire started on July 29, 2015 and burned 212 acres off China Gulch, southwest of Redding in Shasta County.","China Fire, Shasta County, July 29, 2015, China Gulch",29/07/2015,Finalized,1,5,,,efe937e3/8b63/4495/b578/e2582fb2166d,2015/08/01T19:00:00Z,5
211,FALSE,Santa Barnara County Fire Department,,2015,FALSE,/incidents/2015/6/29/mesa/fire/,,,Santa Barbara,42,,,,29/06/2015,,FALSE,TRUE,,,,0,off Burton Mesa Blvd in Lompoc,0,FALSE,Mesa Fire,100,,TRUE,"The Mesa Fire off Burton Mesa Blvd in Lompoc, in Santa Barbara County. Burned 211 acres in June 2015 and burned 211 acres. ","Mesa Fire, Santa Barbara County, Off Burton Mesa Blvd in Lompoc, 2015",29/06/2015,Finalized,,,,,f3765dfa/fa7b/47d7/8914/a032f229a892,2015/06/29T17:05:00Z,
204,FALSE,CAL FIRE Tuolumne/Calaveras Unit,,2015,TRUE,/incidents/2015/7/29/big/creek/fire/,"Crews are continuing mop/up and fire suppression repair operations. Demobilization has begun, releasing unneeded fire equipment and personnel. Motorists driving in the area of the fire on Highway 120, especially after dark, are asked to exercise great caution to avoid fire equipment and crews. ",,Tuolumne,55,5,1,9,04/08/2015,,FALSE,TRUE,,,,37.823,off Hwy120 and Sprague Rd near Groveland ,/120.15644,TRUE,Big Creek Fire,100,115,TRUE,"The Big Creek Fire started on July 29, 2015 and burned 204 acres off Hwy 120 and Sprague Rd near Groveland in Tuolumne County and burned 204 acres.","Big Creek Fire, Tuolumne County, July 29, 2015, Hwy 120, Sprague Rd., Groveland, Yosemite National Park. 316",29/07/2015,Finalized,,,,,55a1ec97/90fb/48df/8414/203b91adcd76,2015/08/04T18:00:00Z,2
200,FALSE,USFS / Angeles National Forest ,,2015,FALSE,/incidents/2015/7/17/pines/fire/,,,Los Angeles,19,,,,04/08/2015,,FALSE,TRUE,,,,34.367,Angeles Crest Highway (Hwy 2) north of Wrightwood and near Big Pines,/117.683,FALSE,Pines Fire ,100,,TRUE,The Pines Fire started on July 17 off Angeles Crest Highway (Hwy 2) north of Wrightwood and near Big Pines on the Angeles National Forest in Los Angeles County and burned 200 acres. ,"Pines Fire,Crest Highway, Wrightwood, Big Pine, Angeles National Forest, ",17/07/2015,Finalized,,,,,0c9948a7/98ad/4b42/888e/a7c2a4f536fa,2015/08/04T08:15:00Z,
200,FALSE,Shasta/Trinity National Forest,,2015,FALSE,/incidents/2015/2/24/stephens/fire/,,,Siskiyou,47,,,,02/03/2015,,FALSE,TRUE,,,,41.485,"Approx. 18 miles northeast of McCloud, just south of Horse Peak",/121.851,FALSE,Stephens Fire,100,,TRUE,"The Stephens Fire burned 200 acres about 18 miles northeast of McCloud, just south of Horse Peak on the Shasta/Trinity National Forest(Siskiyou County) in February 2015. ","Stephens Fire, US Forest Service, McCloud, Horse Peak, Shasta/Trinity National Forest, Siskiyou County",24/02/2015,Finalized,,,,,b3062936/6b2f/4177/b3f6/0fc288049339,2015/03/02T09:00:00Z,
195,FALSE,CAL FIRE Santa Clara Unit,,2015,TRUE,/incidents/2015/7/30/vasco/fire/,,,Contra Costa,7,,,,30/07/2015,,FALSE,TRUE,,,,37.81629,"Vasco Rd,  3 miles southwest of Byron",/121.68113,FALSE,Vasco Fire,100,,TRUE,"The Vasco Fire started on July 30, 2015 and burned 195 acres off Vasco Rd., 3 miles southwest of Byron in Contra Costa County.","Vasco Fire, Contra Costa County, Vasco Rd., July 30, 2015.",30/07/2015,Finalized,,,,,652938d9/2f23/41d8/a49c/30b218594762,2015/07/30T16:00:00Z,
186,FALSE,Ventura County Fire Department,,2015,FALSE,/incidents/2015/8/14/rustic/fire/,,,Ventura,56,,,,16/08/2015,,FALSE,TRUE,,,,0,Rustic Hills Drive in the Wood Ranch area Simi Valley,0,FALSE,Rustic Fire,100,,TRUE,"The Rustic Fire started on August 14, 2015 and burned 186 acres off Rustic Hills Drive in the Wood Ranch area of Simi Valley in Ventura County. ","Rustic Fire, Rustic Hills Drive, Wood Ranch, Simi Valley, Ventura County",14/08/2015,Finalized,,,,,4c10bd30/e348/430c/9f12/932c8a03f6f8,2015/08/16T12:00:00Z,
181,FALSE,CAL FIRE Siskiyou Unit ,,2015,TRUE,/incidents/2015/7/13/cooley/fire/,,,Siskiyou,47,,,,14/07/2015,,FALSE,TRUE,,,,41.8048,5 miles North of the community of Montague on Cooley Rd,/122.5029,FALSE,Cooley Fire,100,,TRUE,"Cooley Fire started on July 13 north of Montague on Cooley Road, in Siskiyou County and burned 181 acres. ","Cooley Fire, Montague, Cooley Road, Siskiyou County",13/07/2015,Finalized,,,,,8b35629f/50f4/4b32/b286/ce48cb1200e7,2015/07/14T08:30:00Z,
171,FALSE,CAL FIRE San Diego Unit,,2015,TRUE,/incidents/2015/6/17/wildcat/fire/,,,San Diego,37,,,,19/06/2015,,FALSE,TRUE,,,,32.9421,"Wildcat Canyon Rd and Barona Rd, east of Fernbrook",/116.8534,FALSE,Wildcat Fire,100,,TRUE,"The Wildcat Fire started on June 17, 2015 off Wildcat Canyon Rd and Barona Rd, east of Fernbrook (San Diego County)","Wildcat Fire, San Diego County, Wildcat Canyon Rd and Barona Rd, East of Fernbrook, June 17, 2015",17/06/2015,Finalized,,,,,fc2ea6bf/e925/49f9/8390/9997c01b612d,2015/06/19T17:45:00Z,
170,FALSE,CAL FIRE Fresno Kings Unit,,2015,TRUE,/incidents/2015/9/9/creek/fire/,,,Fresno,10,,,,11/09/2015,,FALSE,TRUE,,,,40.400196,Squaw Valley Road and Sand Creek Road,/120.553075,FALSE,Creek Fire,100,,TRUE,"Creek Fire Started on September 9, 2015 off Squaw Valley Road and Sand Creek Road, (Fresno County) and burned 170 acres.","Creek Fire, off Squaw Valley Road and Sand Creek Road, Fresno County, September, 2015",09/09/2015,Finalized,,,,,9a3df964/7794/411c/9043/967476fe77e6,2015/09/11T19:17:00Z,
170,FALSE,CAL FIRE Tehama/Glenn Unit,,2015,TRUE,/incidents/2015/7/4/black/fire/,,,Tehama,52,,,,04/07/2015,,FALSE,TRUE,,,,39.8448,"off Black Butte Rd, near Black Butte Lake",/122.3638,FALSE,Black Fire,100,,TRUE,"The Black Fire started on July 4, 2015 off Black Butte Rd, near Black Butte Lake (Tehama County) and burned 170 acres.","Black Fire, Tehama County, Black Butte Road, Black Butte Lake, July 2015, 2015",04/07/2015,Finalized,,,,,8d5b00c1/0ec0/43bb/a03e/822d5fe2af52,2015/07/04T20:15:00Z,
167,FALSE,Kern County Fire Department ,,2015,TRUE,/incidents/2015/8/20/flat/fire/,,,Kern,15,,,,21/08/2015,,FALSE,TRUE,,,,0,"southeast of Woody, south of Poso Flat Road & Burke Creek",0,FALSE,Flat Fire ,100,,TRUE,"The Flat Fire burned 167 acres in Kern County southeast of Woody, south of Poso Flat Road and Burke Creek in August 2015.","Flat Fire, Kern County, Woody, Poso Flat Road, Burke Creek",20/08/2015,Finalized,,,,,33b7d824/9803/4c07/8231/9cf210e34417,2015/08/21T18:45:00Z,
167,FALSE,USFS / Cleveland National Forest,,2015,FALSE,/incidents/2015/7/24/cutca/fire/,,,San Diego,37,,,,26/07/2015,,FALSE,TRUE,,,,33.383889,"On Palomar Mountain, north of the Palomar Observatory",/116.868611,FALSE,Cutca Fire,100,,TRUE,"The Cutca Fire started on July 24, 2015 and burned 167 acres on Palomar Mountain, north of the Palomar Observatory in San Diego County.","Cutca, USFS, Forest Service, Cleveland National Forest, San Diego County, Palomar Mountain, Palomar Observatory",24/07/2015,Finalized,,,,,d7757da4/f9e1/451f/8316/26065888dfc2,2015/07/26T06:45:00Z,
164,FALSE,Ventura County Fire,,2015,FALSE,/incidents/2015/6/22/river/fire/,,,Ventura,56,,,,25/06/2015,,FALSE,TRUE,,,,0," Acacia Way and Corporation Court, Santa Paula  ",0,FALSE,River Fire,100,,TRUE,"The River Fire started on June 22, 2015 and burned 164 acres off Acacia Way and Corporation Court, Santa Paula in Ventura county","River Fire, Ventura County, Acacia Way, June 22, 2015.",22/06/2015,Finalized,,,,,aece9ff6/ddfd/4240/bb7a/894831d1a67d,2015/06/25T07:00:00Z,
158,FALSE,CAL FIRE Humboldt/Del Norte Unit,,2015,TRUE,/incidents/2015/7/24/queen/fire/,"Threat to Commercial Timberlands, Critical watershed habitat in the Klamath River drainage has decreased. ",,Humboldt,12,,5,10,01/08/2015,,FALSE,TRUE,,,2,41.295667,"off Hwy 169 & McKinnon Hill Rd, 5 miles southeast of Pecwan",/123.784067,TRUE,Queen Fire,100,57,TRUE,"The Queen Fire started on July 24, 2015 and burned 158 acres off Hwy 169 & McKinnon Hill Rd, 5 miles southeast of Pecwan in Humboldt County.","Queen Fire, Humboldt County, Hwy 169, McKinnon Hill Rd, southeast of Pecwan. 325",24/07/2015,Finalized,,,,,8be9d271/ed9c/4bc9/9c22/4eff8956ab7b,2015/08/01T21:45:00Z,
158,FALSE,CAL FIRE Nevada/Yuba/Placer Unit,5,2015,TRUE,/incidents/2015/6/18/cook/fire/,"<br>June 18, 2015 CAL FIRE was conducting a critical training class for fire fighters in the use of low water fire suppression operations at the U.C. Berkeley Field Station, Yuba County. This training included the use of live fire for crews to train on fire fighting tactics. The original prescribed burn area was set at 212 acres in size. The fire is currently holding at approximately 180 acres within the burn area.
<br>
<br>CAL FIRE personnel aggressively engaged the spot fires within the burn area using engines, dozers, hand crews and aircraft. The fire is currently holding at approximately 180 acres. Drought conditions will continue to influence fire behavior throughout the summer causing rapid aggressive fire activity. CAL FIRE reminds everyone to do their part and maintain a defensible space.",,Yuba,58,11,9,25,22/06/2015,,FALSE,TRUE,,4,3,39.2688,"UC Field Station, Scott Forbes Road",/121.26471,TRUE,Cook Fire,100,250,TRUE,"The Cook Fire started June 18, 2015 near the UC Field Station, Scott Forbes Road in Yuba County.","Cook Fire, Yuba County, June 18, 2015, UC Field Station, ",18/06/2015,Finalized,,,,,b5fa450f/9b84/4d90/9956/bda9dfe32f28,2015/06/22T11:45:00Z,
150,FALSE,CAL FIRE Sonoma/Lake/Napa,0,2015,TRUE,/incidents/2015/7/6/sky/fire/,,Mix Canyon Road,Solano,48,13,3,15,08/07/2015,,FALSE,TRUE,,0,,38.4113,"Mix Canyon Rd & Sky Ranch Road, northwest of Vacaville",/122.0789,TRUE,Sky Fire,100,275,TRUE,"The Sky Fire started on July 6, 2015 off Mix Canyon Rd & Sky Ranch Rd in Solano County and burned 150 acres.","Sky Fire, Mix Canyon Road and Sky Ranch Road, Solano County, CAL FIRE Sonoma Lake Napa Unit, July 2015,
",06/07/2015,Finalized,,,,,28b81794/bb66/466e/b9dc/337c47be5678,2015/07/08T20:45:00Z,5
150,FALSE,CAL FIRE Riverside County Fire,,2015,TRUE,/incidents/2015/7/1/merwin/fire/,,,Riverside,33,,,,04/07/2015,,FALSE,TRUE,,,,0,off Merwin St in Moreno Valley ,0,FALSE,Merwin Fire,100,,TRUE,"The Merwin Fire started on July 1, 2015 off Merwin St in Moreno Valley (Riverside County) in July 2015 and burned 150 acres.","Merwin Fire, Riverside County, Riverside, 2015, July 2015",01/07/2015,Finalized,,,,,1a06d125/d5c1/46bc/b8d4/08f31246f246,2015/07/04T13:00:00Z,
146,FALSE,CAL FIRE Humboldt/Del Norte Unit,,2015,TRUE,/incidents/2015/8/18/horse/fire/,"<p>One less spark means one less wildfire. Do your part…don’t let fires start! For additional information on how to prepare your family and harden your home against wildfires, visit www.readyforwildfire.org. For more fire information about statewide fire activity, visit www.fire.ca.gov. </p>",,Humboldt,12,,,,29/08/2015,,FALSE,TRUE,,,,40.1058823,"Saddle Mountain Road, 6 miles NE Shelter Cove",/124.0720419,TRUE,Horse Fire,100,45,TRUE,"The Horse Fire near Saddle Mountain Road, 6 miles northeast of Shelter Cove burned 137 acres in August 2015.","Humboldt County, Saddle Mountain Rd, Shelter Cove, August 2015",18/08/2015,Finalized,,,,,cbaa4a28/c732/4c11/9d44/7da6c3bd8e42,2015/08/29T07:00:00Z,
137,FALSE,**This was NOT a CAL FIRE Incident. Click this link for more information from the US Forest Service  ,,2015,TRUE,/incidents/2015/4/13/ward/fire/,,,Plumas,32,,,,18/04/2015,,FALSE,TRUE,,,,40.05083333,East of Taylorsville,/120.70166666667,FALSE,Ward Fire,100,,TRUE,The Ward Fire east of Taylorsville burned in Plumas County in April 2015.,"Ward Fire, Plumas County, April 2015, USFS",13/04/2015,Finalized,,,,,84cb525c/7a90/4d31/8d55/d9729c05b286,2015/04/18T23:50:00Z,
135,FALSE,CAL FIRE Madera/Mariposa/Merced Unit,,2015,TRUE,/incidents/2015/6/21/red/fire/,,,Madera,20,,,,23/06/2015,,FALSE,TRUE,,,,37.072561,"Red Tail Road and Road 211, south of O'Neal",/119.6958,FALSE,Red Fire,100,,TRUE,"The Red Fire started on June 21, 2015 off Red Tail Road and Road 211, south of O'Neal (Madera County).","Red Fire, Madera County, June 21, 2015, Red Tail Road, south of O'Neal",21/06/2015,Finalized,,,,,0f537c6f/8a74/48f4/9fbf/ad00942ffba0,2015/06/23T18:25:00Z,
128,FALSE,CAL FIRE Shasta/Trinity Unit,,2015,TRUE,/incidents/2015/8/25/democrat/fire/,,,Trinity,53,,,,29/08/2015,,FALSE,TRUE,,,,40.724898,"Democrat Gulch, west of Weaverville ",/122.96174,TRUE,Democrat Fire,100,,TRUE,"The Democrat Fire burned 128 acres near Democrat Gulch, west of Weaverville in Trinity County in August 2015.","Democrat Fire, Trinity County, Democrat Gulch, Weaverville ",25/08/2015,Finalized,,,,,da522578/443a/4c52/a9bb/d72bbb84dcdb,2015/08/29T18:45:00Z,
122,FALSE,CAL FIRE Amador/El Dorado Unit,,2015,TRUE,/incidents/2015/6/18/collier/fire/,,,San Joaquin,39,,,,18/06/2015,,FALSE,TRUE,,,,0,"Jack Tone Rd & Collier Rd, east of Herald",0,FALSE,Collier Fire,100,,TRUE,"The Collier Fire started on June 18, 2015 off Jack Tone Rd & Collier Rd, east of Herald (San Joaquin County).","Collier Fire, San Joaquin County, Jack Tone Rd Collier Rd, Herald, June 18, 2015.",18/06/2015,Finalized,,,,,a4df2aae/dab6/4531/b4f4/a535f77b483f,2015/06/18T21:15:00Z,
116,FALSE,CAL FIRE Lassen/Modoc Unit,,2015,TRUE,/incidents/2015/7/23/3/11/fire/,,,Modoc,25,,,,26/07/2015,,FALSE,TRUE,,,,41.29226,"on Splawn Mountain, northeast of Bieber",/121.172117,FALSE,3/11 Fire,100,,TRUE,"The 3/11 Fire start on July 23, 2015 on Splawn Mountain, northeast of Bieber in Modoc County and burned 116 acres.","Three Eleven Fire, 3/11, Modoc County, Splawn Mountain, Bieber",23/07/2015,Finalized,,,,,0da79ccb/9701/4c27/8831/f10593fb8a90,2015/07/26T10:10:00Z,
114,FALSE,CAL FIRE Tuolumne Calaveras Unit,,2015,TRUE,/incidents/2015/8/13/mark/fire/,"Crews have made good progress, completing control lines and mopping up the perimeter. ",,Calaveras,5,,,5,18/08/2015,,FALSE,TRUE,,,,38.052,Marks Ranch Rd south of Angels Camp,/120.5577,TRUE,Mark Fire,100,20,TRUE,The Marks Fire burned 114 acres off Marks Ranch Rd south of Angels Camp in Calaveras County in August 2015.,"Marks Fire, Marks Ranch Rd, Angels Camp, Calaveras County, August 2015",13/08/2015,Finalized,,,,,fe668595/0980/4f41/af0c/3f14c4d391c2,2015/08/18T07:15:00Z,
